Region,Chr,Start,End,Attributes,TotalE2E,FwdE2E,RevE2E,Total,Fwd,Rev
SP_663.2745,chr16,77353909,77354033,rs9930984,5014,2478,2536,5398,2747,2651,
CDH10_tmb9_1.7042,chr5,24535812,24535932,CDH10,5008,2795,2213,5287,2931,2356,
SP_372.16218,chr12,13214466,13214589,rs3741818,5007,2623,2384,5465,2895,2570,
KIT_2.8929,chr4,55593976,55594096,KIT,4993,2216,2777,5345,2282,3063,
ADAMTS12_tmb7_1.13942,chr5,33614347,33614480,ADAMTS12,4975,2487,2488,5257,2674,2583,
YAP1_3.34297,chr11,102033184,102033307,YAP1,4966,2274,2692,5214,2435,2779,
NOL4_tmb1_1.21100,chr18,31432968,31433096,NOL4,4966,2557,2409,5478,2908,2570,
ACSM2B_tmb4_1.52213,chr16,20556478,20556595,ACSM2B,4961,2561,2400,5156,2635,2521,
SP_1435.4162,chr6,117113564,117113686,rs615199,4953,2499,2454,5210,2628,2582,
SYT10_tmb3_1.37239,chr12,33538104,33538233,SYT10,4936,2458,2478,5346,2800,2546,
SP_1278.18184,chr4,167020618,167020742,rs2291822,4929,2359,2570,5560,2757,2803,
SP_1181.12531,chr3,172835065,172835188,rs1515442,4925,2356,2569,5309,2670,2639,
H3F3A_3.65712,chr1,226253393,226253518,H3-3A,4923,2760,2163,5458,2837,2621,
PIK3R1_1.903,chr5,67522764,67522891,PIK3R1,4921,2572,2349,5447,2763,2684,
SP_191.34636,chr6,117641058,117641179,ROS1,4906,2416,2490,5532,2643,2889,
MLH3_12.3.209676,chr14,75515000,75515118,MLH3,4905,2534,2371,5352,2759,2593,
A1CF_tmb7_1.38194,chr10,52610425,52610543,A1CF,4903,2402,2501,5609,2742,2867,
STAT1_tmb4_1.23648,chr2,191847125,191847246,STAT1,4902,2727,2175,5639,2886,2753,
CDK12_14.72384,chr17,37687116,37687242,CDK12,4875,2399,2476,5303,2742,2561,
PPP6C_1.21770,chr9,127911979,127912104,PPP6C,4866,2396,2470,5246,2598,2648,
DPYD_7.72421,chr1,97771720,97771845,DPYD,4850,2477,2373,5261,2648,2613,
REG1B_tmb1_1.11588,chr2,79312602,79312730,REG1B,4830,2418,2412,5321,2704,2617,
TAP2_tmb6_1.22782,chr6,32800111,32800244,TAP2,4827,2550,2277,5397,2679,2718,
INPP4B_1.30636,chr4,142950015,142950123,INPP4B,4813,2429,2384,5131,2599,2532,
MP_SP_162.63175,chr4,55956119,55956238,KDR,4810,2657,2153,5387,2951,2436,
ADAMTS12_tmb10_1.69696,chr5,33637803,33637935,ADAMTS12,4801,2357,2444,5092,2561,2531,
ARID1B_20.1.42474,chr6,157527418,157527530,ARID1B,4797,2184,2613,5094,2284,2810,
SLCO1B3_tmb4_1.2768,chr12,21015352,21015470,SLCO1B3,4791,2404,2387,5180,2710,2470,
HDAC9_14.55799,chr7,18767288,18767400,HDAC9,4777,2501,2276,5153,2789,2364,
DOCK3_tmb9_1.52778,chr3,51274902,51275028,DOCK3,4777,2563,2214,5240,2854,2386,
ERCC4_8.116248,chr16,14029384,14029510,ERCC4,4776,2356,2420,5361,2738,2623,
NRXN1_tmb7_1.17907,chr2,50847066,50847193,NRXN1,4771,2291,2480,5479,2570,2909,
OR5L1_tmb1_1.336681,chr11,55579411,55579544,OR5L1,4769,2344,2425,5253,2688,2565,
ACSM2B_tmb3_1.7103,chr16,20554463,20554600,ACSM2B,4766,2566,2200,5396,3139,2257,
ABCB1_tmb15_1.39545,chr7,87196076,87196201,ABCB1,4764,2497,2267,5124,2645,2479,
MLH3_12.2.276444,chr14,75514424,75514543,MLH3,4759,2445,2314,5287,2620,2667,
SP_336.17561,chr11,107299592,107299710,rs659040,4755,2447,2308,5347,2791,2556,
SP_256.26216,chr10,119043461,119043581,rs363294,4753,2213,2540,5435,2722,2713,
DICER1_17.103220,chr14,95582004,95582127,DICER1,4752,2228,2524,5165,2519,2646,
DSC3_tmb6_1.18944,chr18,28602271,28602394,DSC3,4745,2173,2572,5696,2837,2859,
ARID5B_6.40166,chr10,63810630,63810752,ARID5B,4744,2543,2201,5299,2690,2609,
NF2_5.83510,chr22,30050552,30050678,NF2,4744,2295,2449,5016,2398,2618,
PARP2_12.113183,chr14,20824452,20824573,PARP2,4741,2142,2599,5547,2703,2844,
MGA_7.184431,chr15,42003016,42003140,MGA,4728,2486,2242,4994,2634,2360,
MP_SP_115.82201,chr2,178098711,178098824,NFE2L2,4727,2133,2594,5554,2703,2851,
NOTCH2_22.71124,chr1,120497722,120497832,NOTCH2,4727,2565,2162,5536,2647,2889,
SDHA_4.10627,chr5,225504,225643,SDHA,4726,2196,2530,5296,2476,2820,
BARD1_1.75438,chr2,215593567,215593693,BARD1,4726,2634,2092,4989,2826,2163,
SLC15A2_tmb3_1.53041,chr3,121647792,121647913,SLC15A2,4720,2569,2151,5153,2700,2453,
SP_168.41270,chr4,55589693,55589817,KIT,4713,2351,2362,5167,2556,2611,
DICER1_5.19041,chr14,95562298,95562421,DICER1,4710,2472,2238,5449,2821,2628,
DICER1_5.289271,chr14,95562088,95562205,DICER1,4706,2408,2298,5168,2520,2648,
SP_1624.4251,chr8,113418775,113418892,rs80277352,4694,2666,2028,5233,2774,2459,
MP_SP_192.65402,chr7,116411806,116411928,MET,4687,2238,2449,5071,2355,2716,
CNTN6_tmb16_1.77307,chr3,1444142,1444263,CNTN6,4686,1828,2858,5766,2621,3145,
FAT1_26.3.261286,chr4,187629852,187629980,FAT1,4685,2419,2266,5107,2615,2492,
MITF_8.10817,chr3,69988229,69988349,MITF,4679,2454,2225,4987,2568,2419,
SP_876.37605,chr2,36704099,36704221,rs848547,4675,2181,2494,5520,2894,2626,
CDKN2C_2.88551,chr1,51439611,51439734,CDKN2C,4674,2154,2520,4998,2242,2756,
SP_1656.44456,chr9,24545470,24545581,rs6475797,4671,2312,2359,5210,2637,2573,
MSH3_8.12026,chr5,79974786,79974911,MSH3,4649,2449,2200,5054,2620,2434,
APC_16.7.158577,chr5,112179330,112179454,APC,4649,2297,2352,4864,2363,2501,
CUL3_1.16879,chr2,225338933,225339062,CUL3,4643,2381,2262,4964,2537,2427,
FAT1_18.4.311027,chr4,187542312,187542429,FAT1,4642,2239,2403,5020,2413,2607,
SETD2_19.2.15126,chr3,47163030,47163146,SETD2,4638,2095,2543,5222,2419,2803,
FBXW7_11.102475,chr4,153273782,153273903,FBXW7,4629,2191,2438,5143,2354,2789,
SMAD2_1.48372,chr18,45368152,45368277,SMAD2,4623,2295,2328,5096,2577,2519,
ARID2_15.1.165626,chr12,46244222,46244346,ARID2,4619,2250,2369,4970,2486,2484,
DICER1_3.74376,chr14,95557604,95557727,DICER1,4616,2465,2151,5076,2780,2296,
TNFAIP3_3.75428,chr6,138196876,138196998,TNFAIP3,4612,2235,2377,5032,2518,2514,
KMT2A_35.7767,chr11,118391980,118392104,KMT2A,4597,2376,2221,5013,2532,2481,
MAP3K1_1.184740,chr5,56189238,56189360,MAP3K1,4595,2210,2385,4775,2326,2449,
SP_1168.20300,chr3,149485249,149485369,rs7610425,4594,2484,2110,4913,2616,2297,
OR4A15_tmb1_1.1.103357,chr11,55135867,55135996,OR4A15,4589,1896,2693,5221,2366,2855,
ARID1B_20.1.60775,chr6,157527219,157527342,ARID1B,4581,2226,2355,5212,2667,2545,
FANCI_36.32294,chr15,89858566,89858692,FANCI,4580,2220,2360,5294,2452,2842,
SP_1615.25406,chr8,95877691,95877810,rs713113,4578,2294,2284,5039,2707,2332,
MSH6_4.2.242300,chr2,48026732,48026855,MSH6,4577,2368,2209,5066,2553,2513,
SP_1488.27416,chr7,31611686,31611806,rs67930674,4574,2357,2217,4802,2460,2342,
FAM135B_tmb9_1.27693,chr8,139255188,139255303,FAM135B,4563,2265,2298,4854,2477,2377,
HDAC9_3.53205,chr7,18535848,18535962,HDAC9,4562,2099,2463,5345,2602,2743,
GLI3_1.1.14518,chr7,42003880,42003993,GLI3,4562,2275,2287,4744,2341,2403,
ABCB1_tmb1_1.9668,chr7,87145849,87145981,ABCB1,4561,2642,1919,5670,2834,2836,
SYT10_tmb2_1.68211,chr12,33535215,33535336,SYT10,4560,2170,2390,5455,2825,2630,
BARD1_8.202398,chr2,215646027,215646146,BARD1,4554,2112,2442,5102,2419,2683,
HDAC2_6.62544,chr6,114267184,114267307,HDAC2,4549,2299,2250,4952,2410,2542,
OBRA_BRCA1_47,chr17,41243554,41243649,BRCA1,4548,2183,2365,4826,2294,2532,
ATR_4.60667,chr3,142177854,142177971,ATR,4541,1885,2656,5250,2173,3077,
TET2_9.2.90140,chr4,106197338,106197462,TET2,4540,2091,2449,4959,2329,2630,
SP_1381.25211,chr6,28227352,28227477,rs12000,4538,2153,2385,4815,2323,2492,
C6_tmb7_1.45282,chr5,41172328,41172451,C6,4536,2413,2123,5196,2966,2230,
BRAF_6.22482,chr7,140476662,140476788,BRAF,4536,2098,2438,5128,2435,2693,
ERRFI1_2.29605,chr1,8075344,8075467,ERRFI1,4535,2092,2443,5007,2438,2569,
OR5L2_tmb1_1.44813,chr11,55594998,55595133,OR5L2,4535,2201,2334,5164,2689,2475,
SP_60.28708,chr1,59147849,59147967,rs12139511,4531,2441,2090,5304,2667,2637,
MP_e_del_17319_1466_ATR_1.33888,chr3,142259751,142259853,ATR,4520,2370,2150,4815,2467,2348,
BRIP1_13.25037,chr17,59878696,59878808,BRIP1,4516,2258,2258,4909,2460,2449,
ACVR2A_4.20174,chr2,148657332,148657454,ACVR2A,4515,2272,2243,5303,2827,2476,
ARID1A_12.20358,chr1,27097589,27097716,ARID1A,4512,2139,2373,4817,2256,2561,
ACVR2A_6.10635,chr2,148674795,148674909,ACVR2A,4508,2311,2197,5349,2718,2631,
SP_484.13149,chr13,86369037,86369149,rs3825413,4508,2252,2256,5172,2578,2594,
SP_633.5772,chr16,20810014,20810135,rs3213646,4507,2237,2270,5131,2400,2731,
RUNX1_2.45699,chr21,36171589,36171711,RUNX1,4506,2376,2130,5307,2684,2623,
ATR_20.19061,chr3,142226735,142226881,ATR,4498,2303,2195,5064,2460,2604,
SP_384.2287,chr12,39087530,39087639,rs3759139,4498,2477,2021,4808,2610,2198,
TSC1_16.9436,chr9,135796713,135796833,TSC1,4497,2425,2072,4642,2496,2146,
KMT2C_13.75522,chr7,151851363,151851476,KMT2C,4493,2285,2208,4722,2406,2316,
ACVR2A_8.39486,chr2,148677838,148677956,ACVR2A,4488,2360,2128,4889,2533,2356,
TGFBR2_6.101180,chr3,30715580,30715704,TGFBR2,4480,2384,2096,5291,2591,2700,
ERBB4_1.13966,chr2,212286710,212286826,ERBB4,4479,2267,2212,4858,2489,2369,
C6_tmb6_1.98955,chr5,41161743,41161866,C6,4479,2354,2125,4882,2585,2297,
ATR_43.18910,chr3,142280095,142280216,ATR,4474,2446,2028,5187,2703,2484,
HCN1_tmb7_1.85810,chr5,45645394,45645528,HCN1,4467,2110,2357,5018,2298,2720,
OBRA_BRCA1_51,chr17,41243891,41244000,BRCA1,4466,2273,2193,4735,2383,2352,
PDE1C_tmb3_1.62056,chr7,31864479,31864611,PDE1C,4464,2277,2187,4800,2423,2377,
SP_939.9247,chr2,163128810,163128925,rs3747517,4462,2195,2267,5009,2431,2578,
SP_930.20612,chr2,141773329,141773453,rs78806080,4458,2618,1840,5127,2821,2306,
CSMD3_tmb57_1.73391,chr8,114449041,114449174,CSMD3,4456,2035,2421,5098,2453,2645,
ARMC4_tmb1_1.53700,chr10,28101434,28101553,ARMC4,4454,2126,2328,4772,2328,2444,
LATS1_7.16584,chr6,150023186,150023308,LATS1,4442,2219,2223,4787,2391,2396,
RAD50_8.77083,chr5,131924330,131924456,RAD50,4441,2360,2081,5024,2426,2598,
SP_419.1269,chr12,90028818,90028940,rs1050395,4440,2326,2114,4786,2544,2242,
SP_40.22834,chr1,39908465,39908589,rs587404,4440,2094,2346,4846,2298,2548,
SP_735.29614,chr17,64685045,64685172,rs2227857,4439,2033,2406,4707,2119,2588,
NOTCH2_24.12158,chr1,120506168,120506278,NOTCH2,4437,2130,2307,4892,2416,2476,
SP_368.17265,chr12,9316748,9316868,rs3213831,4437,2307,2130,4740,2455,2285,
OR4M2_tmb1_1.272629,chr15,22369154,22369290,OR4M2,4432,2337,2095,9053,4587,4466,
ACVR2A_tmb2_1.2025,chr2,148696711,148696832,ORC4,4423,2235,2188,4994,2564,2430,
SP_1589.6290,chr8,32453292,32453412,rs3924999,4422,2032,2390,5000,2428,2572,
REG3G_tmb2_1.29969,chr2,79254162,79254295,REG3G,4420,2223,2197,4822,2300,2522,
CSMD3_tmb8_1.44921,chr8,113277740,113277871,CSMD3,4417,2217,2200,5024,2637,2387,
FANCI_23.88804,chr15,89838167,89838289,FANCI,4413,2282,2131,4635,2396,2239,
SPEN_8.62273,chr1,16245917,16246042,SPEN,4412,1851,2561,5007,2183,2824,
OR10G8_tmb1_1.218066,chr11,123900669,123900790,OR10G8,4410,2310,2100,4816,2557,2259,
SP_928.7028,chr2,141260635,141260759,rs4444457,4406,2286,2120,4974,2502,2472,
MAP2K4_8.72404,chr17,12016564,12016678,MAP2K4,4405,2091,2314,5073,2379,2694,
OR5F1_tmb1_1.185935,chr11,55761480,55761613,OR5F1,4404,2382,2022,5255,2605,2650,
NTRK2_5.57616,chr9,87636150,87636276,NTRK2,4395,2119,2276,4690,2308,2382,
ARID2_15.2.263926,chr12,46244662,46244785,ARID2,4390,2061,2329,5317,2564,2753,
PIK3R1_17.127944,chr5,67593319,67593437,PIK3R1,4388,2211,2177,4641,2309,2332,
SP_377.33791,chr12,27641404,27641522,rs412978,4382,2239,2143,4917,2456,2461,
TGFBR2_7.51162,chr3,30729824,30729944,TGFBR2,4382,2090,2292,5064,2596,2468,
SP_1295.13001,chr5,33998827,33998949,rs2287939,4377,2301,2076,5047,2724,2323,
SP_1614.5302,chr8,94146624,94146731,rs13267247,4375,2284,2091,4856,2557,2299,
SP_420.39429,chr12,91545420,91545543,rs3138268,4373,2195,2178,4729,2414,2315,
SP_1666.28705,chr9,72897358,72897479,rs1180116,4372,2184,2188,4786,2475,2311,
SP_131.228128,chr2,198267322,198267412,SF3B1,4372,2195,2177,4600,2283,2317,
KMT2A_27.1.31802,chr11,118373619,118373748,KMT2A,4371,2127,2244,5061,2497,2564,
SP_22.21618,chr1,116929998,116930105,ATP1A1,4367,2182,2185,4595,2240,2355,
EP300_2.17578,chr22,41513366,41513497,EP300,4364,2244,2120,4863,2397,2466,
SP_535.27212,chr14,76368483,76368594,rs1133834,4362,2126,2236,4741,2385,2356,
e_del_182383_24477_TSC1_1.111264,chr9,135797233,135797342,TSC1,4349,2166,2183,4976,2209,2767,
SP_1148.19673,chr3,121647226,121647346,rs1143671,4349,2167,2182,4850,2303,2547,
JAK2_5.100229,chr9,5054650,5054762,JAK2,4334,2211,2123,4751,2432,2319,
CDK12_14.65756,chr17,37687505,37687611,CDK12,4333,2041,2292,4553,2111,2442,
OR8I2_tmb1_1.343569,chr11,55861392,55861517,OR8I2,4331,2045,2286,5232,2771,2461,
SP_528.4615,chr14,69703117,69703242,rs3211166,4330,1957,2373,5058,2482,2576,
MLH3_12.2.254480,chr14,75514822,75514947,MLH3,4324,2059,2265,4716,2354,2362,
NOTCH2_29.98520,chr1,120512134,120512260,NOTCH2,4323,2371,1952,5141,2682,2459,
SP_272.10454,chr11,7078997,7079117,rs10839708,4314,2047,2267,4861,2291,2570,
SP_1327.9450,chr5,95084065,95084187,rs34896,4312,2079,2233,4543,2138,2405,
SMAD2_7.27013,chr18,45394729,45394848,SMAD2,4311,2074,2237,4632,2268,2364,
MAPK8_12.3775,chr10,49642891,49642987,MAPK8,4310,2321,1989,4719,2513,2206,
ARHGAP35_1.3.282196,chr19,47424138,47424261,ARHGAP35,4304,2226,2078,4677,2319,2358,
KMT2A_3.1.233025,chr11,118342935,118343062,KMT2A,4304,2067,2237,4895,2488,2407,
99872_1.54595,chr6,161510425,161510544,MAP3K4,4304,1945,2359,5067,2542,2525,
SP_772.26528,chr18,52265281,52265403,rs9947055,4304,2174,2130,5012,2644,2368,
SDHA_15.37880,chr5,256457,256578,SDHA,4304,2160,2144,4551,2265,2286,
SP_464.34235,chr13,28624213,28624333,rs1933437,4303,2169,2134,4946,2556,2390,
ARID2_8.44726,chr12,46230629,46230750,ARID2,4297,2166,2131,4513,2254,2259,
SP_1486.30774,chr7,29070153,29070278,rs7313,4295,2366,1929,4610,2542,2068,
NRXN1_tmb4_1.18838,chr2,50699503,50699627,NRXN1,4294,2195,2099,4762,2377,2385,
MAP3K4_3.1.152829,chr6,161470339,161470443,MAP3K4,4293,1904,2389,4719,2119,2600,
45022_1.15603,chr16,50825418,50825528,CYLD,4293,1825,2468,5552,2870,2682,
PXDNL_tmb13_1.59477,chr8,52387583,52387713,PXDNL,4293,2003,2290,4938,2428,2510,
EP300_24.62445,chr22,41564428,41564548,EP300,4290,2155,2135,4716,2289,2427,
FAT1_22.70393,chr4,187557197,187557321,FAT1,4289,2365,1924,4803,2458,2345,
SP_1530.32065,chr7,102760481,102760607,rs12540583,4288,2115,2173,4590,2314,2276,
SH3RF2_tmb1_1.47602,chr5,145428780,145428913,SH3RF2,4285,2307,1978,4683,2589,2094,
SP_1521.20056,chr7,92733897,92734021,rs78564070,4283,2178,2105,4508,2242,2266,
SP_988.10351,chr2,226491699,226491814,rs3748993,4281,2105,2176,4728,2280,2448,
MSH6_3.16988,chr2,48033645,48033764,MSH6,4277,2273,2004,4801,2473,2328,
FGF9_2.37521,chr13,22255146,22255269,FGF9,4276,1656,2620,5251,2442,2809,
C6_tmb8_1.68520,chr5,41181603,41181708,C6,4276,2067,2209,4480,2130,2350,
ARID1B_5.30677,chr6,157256632,157256751,ARID1B,4275,1981,2294,4436,2060,2376,
TRIM51_tmb1_1.183640,chr11,55653148,55653277,TRIM51,4272,2121,2151,4645,2291,2354,
OR4C6_tmb1_1.262951,chr11,55432935,55433069,OR4C6,4269,2073,2196,5288,2708,2580,
TNFAIP3_2.56840,chr6,138196137,138196260,TNFAIP3,4267,2343,1924,4951,2472,2479,
SP_1134.17193,chr3,98002378,98002500,rs16839214,4267,2280,1987,4881,2739,2142,
CDH10_tmb1_1.98352,chr5,24487845,24487957,CDH10,4260,2173,2087,4725,2358,2367,
ANO4_tmb10_1.71018,chr12,101480463,101480601,ANO4,4259,2104,2155,4712,2294,2418,
REG1A_tmb3_1.52589,chr2,79349958,79350088,REG1A,4258,2385,1873,4577,2529,2048,
SP_776.39947,chr18,61170683,61170803,rs1455555,4256,1866,2390,4719,2260,2459,
EMSY_7.20274,chr11,76174905,76175030,EMSY,4254,2248,2006,4675,2373,2302,
SP_260.1450,chr10,124609939,124610060,rs1891110,4253,2187,2066,4752,2311,2441,
SMAD4_1.34448,chr18,48573387,48573506,SMAD4,4244,2010,2234,4499,2046,2453,
OR5L1_tmb1_1.50210,chr11,55579246,55579381,OR5L1,4243,2298,1945,4645,2548,2097,
PRDM9_tmb5_1.102977,chr5,23522873,23522998,PRDM9,4242,2420,1822,5228,2568,2660,
SP_1418.26454,chr6,83880112,83880233,rs473267,4239,2448,1791,4908,2541,2367,
MLH3_12.1.274109,chr14,75513057,75513183,MLH3,4239,2160,2079,4464,2292,2172,
SP_993.19299,chr2,231406606,231406727,rs836237,4238,2200,2038,4775,2346,2429,
INPP4B_8.77900,chr4,143045704,143045804,INPP4B,4238,2294,1944,4409,2344,2065,
OR4M1_tmb1_1.173973,chr14,20248879,20249013,OR4M1,4235,1760,2475,8120,4023,4097,
MP_PDGFRA_9.39391,chr4,55155167,55155296,PDGFRA,4227,2193,2034,4883,2533,2350,
PTPN11_9.22803,chr12,112915658,112915777,PTPN11,4227,2400,1827,4526,2562,1964,
SP_470.36725,chr13,39264646,39264767,rs2496425,4225,2195,2030,4505,2358,2147,
GNA13_1.3670,chr17,63010381,63010506,GNA13,4223,2100,2123,4791,2581,2210,
SLC15A2_tmb6_1.59983,chr3,121659228,121659346,SLC15A2,4218,1673,2545,5009,2381,2628,
PARP1_21.65705,chr1,226579982,226580106,PARP1,4215,2361,1854,4939,2827,2112,
SP_29.9604,chr1,31426714,31426837,rs2275741,4213,2031,2182,5158,2617,2541,
FGFR1_1.12840,chr8,38271452,38271577,FGFR1,4212,2161,2051,4573,2294,2279,
MGA_1.1.70795,chr15,41961141,41961252,MGA,4210,2047,2163,4655,2331,2324,
INPP4B_19.39548,chr4,143235817,143235939,INPP4B,4210,2134,2076,4628,2387,2241,
SP_1132.8220,chr3,93646117,93646240,rs7614835,4204,2153,2051,4385,2286,2099,
GLI3_9.88157,chr7,42079599,42079725,GLI3,4201,2337,1864,5124,2520,2604,
